ベンダ,GRAPHTEC Corporation
モデル,GL240
ファームウェア,Ver1.54
ソフトウェア, "Ver1.25"
最大CH数,10CH
GS開始CH
WL開始CH,10CH
測定間隔,10min
測定点数,836         
トリガ点,0           
開始時刻,2025-11-26,16:41:58
終了時刻,2025-12-02,11:52:07
トリガ時刻,2025-11-26,16:42:07
AC Mode, AC1_2, AC1_2
Logic/Pulse,Off,Off
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位
CH1,CH 1,M,DC,1-5V,,20,80.000000,-20.000000,ﾟC
CH2,CH 2,M,DC,1-5V,,20,100.000000,0.000000,%
CH3,CH 3,M,DC,2V,,20,40.000000,-60.000000,ﾟC
CH4,CH 4,M,DC,2V,,20,50.000000,-50.000000,%
CH5,CH 5,M,DC,100mV,,20,1250.000000,-1250.000000,W/m2
CH6,CH 6,M,DC,100V,,20,50.000000,-50.000000,V
CH7,CH 7,M,DC,100V,,20,50.000000,-50.000000,V
CH8,CH 8,M,DC,100V,,20,50.000000,-50.000000,V
CH9,CH 9,M,DC,100V,,20,50.000000,-50.000000,V
CH10,CH10,M,DC,100V,,20,70.000000,-30.000000,V
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,AlarmOut
NO.,Time,ms,ﾟC,%,ﾟC,%,W/m2,V,V,V,V,V,A1234567890,A123456789
1,2025-11-26 16:42:07,000,+17.100,+64.275,+18.950,+21.310,+0.6,-0.01,+0.00,-0.01,+0.00,-0.01,LLLLLLLLLL,LLLLL
2,2025-11-26 16:52:07,000,+16.731,+64.538,+18.875,+21.300,+0.2,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
3,2025-11-26 17:02:07,000,+16.350,+64.812,+18.750,+21.300,+0.1,+0.01,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
4,2025-11-26 17:12:07,000,+15.931,+64.994,+18.670,+21.300,+0.1,+0.00,+0.00,+0.00,+0.00,+0.01,LLLLLLLLLL,LLLLL
5,2025-11-26 17:22:07,000,+15.475,+65.156,+18.545,+21.290,+0.0,+0.00,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
6,2025-11-26 17:32:07,000,+15.088,+65.356,+18.385,+21.280,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
7,2025-11-26 17:42:07,000,+14.675,+65.469,+18.305,+21.280,+0.0,+0.00,+0.00,-0.01,-0.01,+0.00,LLLLLLLLLL,LLLLL
8,2025-11-26 17:52:07,000,+14.400,+65.494,+18.220,+21.250,+0.2,+0.00,+0.00,+0.00,-0.01,-0.01,LLLLLLLLLL,LLLLL
9,2025-11-26 18:02:07,000,+14.100,+65.513,+18.100,+21.210,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
10,2025-11-26 18:12:07,000,+13.863,+65.519,+17.940,+21.210,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
11,2025-11-26 18:22:07,000,+13.687,+65.538,+17.825,+21.260,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
12,2025-11-26 18:32:07,000,+13.519,+65.575,+17.695,+21.260,+0.0,-0.01,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
13,2025-11-26 18:42:07,000,+13.294,+65.600,+17.530,+21.270,+0.1,+0.01,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
14,2025-11-26 18:52:07,000,+13.075,+65.619,+17.425,+21.210,+0.0,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
15,2025-11-26 19:02:07,000,+12.831,+65.687,+17.275,+21.190,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
16,2025-11-26 19:12:07,000,+12.537,+65.844,+17.125,+21.200,+0.2,+0.01,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
17,2025-11-26 19:22:07,000,+12.300,+66.419,+17.010,+21.140,+0.2,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
18,2025-11-26 19:32:07,000,+12.106,+67.156,+16.885,+21.190,+0.1,+0.00,+0.00,+0.00,+0.01,+0.00,LLLLLLLLLL,LLLLL
19,2025-11-26 19:42:07,000,+11.956,+67.581,+16.765,+21.110,+0.0,-0.01,-0.01,-0.01,+0.00,+0.00,LLLLLLLLLL,LLLLL
20,2025-11-26 19:52:07,000,+11.719,+67.444,+16.605,+21.110,+0.0,+0.01,+0.01,+0.00,+0.01,+0.01,LLLLLLLLLL,LLLLL
21,2025-11-26 20:02:07,000,+11.425,+67.606,+16.440,+21.110,+0.1,+0.00,+0.00,+0.00,+0.00,-0.01,LLLLLLLLLL,LLLLL
22,2025-11-26 20:12:07,000,+11.212,+67.794,+16.290,+21.030,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
23,2025-11-26 20:22:07,000,+11.050,+68.031,+16.185,+21.030,+0.1,+0.01,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
24,2025-11-26 20:32:07,000,+10.894,+68.200,+16.040,+21.030,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
25,2025-11-26 20:42:07,000,+10.694,+68.350,+15.885,+21.020,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
26,2025-11-26 20:52:07,000,+10.519,+68.394,+15.780,+21.030,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
27,2025-11-26 21:02:07,000,+10.244,+68.619,+15.635,+21.000,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
28,2025-11-26 21:12:07,000,+10.131,+69.044,+15.510,+20.960,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
29,2025-11-26 21:22:07,000,+9.981,+69.338,+15.380,+20.970,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
30,2025-11-26 21:32:07,000,+9.875,+69.575,+15.235,+20.930,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
31,2025-11-26 21:42:07,000,+9.700,+69.481,+15.135,+20.930,+0.1,+0.01,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
32,2025-11-26 21:52:07,000,+9.456,+73.406,+14.990,+20.930,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
