収穫日,企業名,収穫野菜名,収穫量
2025/11/4,牧野フライス/加工BL,加工BL,100
2025/11/4,牧野フライス/葉物野菜,ベビーリーフ グリーンオーク,240
2025/11/4,バリュエンス/葉物野菜,ベビーリーフ グリーンオーク,280
2025/11/4,バリュエンス/葉物野菜,ベビーリーフ ロログリーン,400
2025/11/4,バリュエンス/葉物野菜,ベビーリーフ ロログリーン,280
2025/11/4,昭和女子/葉物野菜,ベビーリーフ グリーンオーク,320
2025/11/4,マルテー/葉物野菜,ベビーリーフ ピノグリーン,580
2025/11/4,岡部/葉物野菜,ベビーリーフ レッドオーク,460
2025/11/4,日本ロレアル/葉物野菜,ベビーリーフ グリーンオーク,260
2025/11/4,三和/葉物野菜,ベビーリーフ グリーンオーク,980
2025/11/4,バリュエンス/,ブロッコリースプラウト,620
2025/11/4,日建/葉物野菜,ベビーリーフ グリーンオーク,700
2025/11/4,ケイアイ/葉物野菜,ベビーリーフ レッドオーク,540
2025/11/4,慈誠会/葉物野菜,ベビーリーフ ピノグリーン,460
2025/11/4,サンテレホン/葉物野菜,ベビーリーフ ピノグリーン,520
2025/11/4,富士機械/葉物野菜,ベビーリーフ ロロロッサ,580
2025/11/4,富士機械/葉物野菜,ベビーリーフ ロロロッサ,520
2025/11/4,富士機械/葉物野菜,ベビーリーフ ピノグリーン,240
2025/11/4,昭和女子/葉物野菜,ベビーリーフ グリーンオーク,400
2025/11/4,日本ロレアル/加工BL,加工BL,240
2025/11/4,日本ファブテック/葉物野菜,ベビーリーフ グリーンオーク,60
2025/11/4,富士機材/葉物野菜,ベビーリーフ ロログリーン,420
2025/11/4,東レ/葉物野菜,ベビーリーフ ロログリーン,320
2025/11/4,東レ/加工BL,加工BL,300
2025/11/4,岡部/葉物野菜,ベビーリーフ レッドオーク,420
2025/11/4,バリュエンス/葉物野菜,ベビーリーフ ロログリーン,260
2025/11/4,三和/葉物野菜,ベビーリーフ グリーンオーク,340
2025/11/4,三和/根菜,ラディッシュ,240
2025/11/4,日本ロレアル/加工BL,加工BL,140
2025/11/4,Adobe/葉物野菜,ベビーリーフ ロログリーン,580
2025/11/4,富士機材/葉物野菜,ベビーリーフ ロログリーン,140
2025/11/4,富士機材/葉物野菜,ベビーリーフ ロログリーン,580
2025/11/4,バリュエンス/加工BL,加工BL,160
2025/11/4,バリュエンス/葉物野菜,ベビーリーフ ロロロッサ,300
2025/11/4,岡部/葉物野菜,ベビーリーフ グリーンオーク,360
2025/11/4,NaITO/葉物野菜,ベビーリーフ ロロロッサ,20
2025/11/4,NaITO/加工BL,加工BL,220
2025/11/4,慈誠会/葉物野菜,ベビーリーフ ピノグリーン,380
2025/11/4,QB/葉物野菜,ベビーリーフ ピノグリーン,120
2025/11/4,Adobe/葉物野菜,ベビーリーフ ロログリーン,360
2025/11/4,東レ/葉物野菜,ベビーリーフ ロログリーン,320
2025/11/4,NaITO/加工BL,加工BL,60
2025/11/4,NaITO/葉物野菜,ベビーリーフ ロロロッサ,200
2025/11/4,マルテー/葉物野菜,ベビーリーフ ピノグリーン,200
2025/11/4,バリュエンス/加工BL,加工BL,140
2025/11/4,バリュエンス/葉物野菜,ベビーリーフ ロロロッサ,300
2025/11/4,岡部/葉物野菜,ベビーリーフ グリーンオーク,200
2025/11/4,ソリトン/,ブロッコリースプラウト,"2,440"
2025/11/4,QB/葉物野菜,ベビーリーフ ピノグリーン,180
2025/11/4,QB/葉物野菜,ベビーリーフ グリーンオーク,240
2025/11/4,日建/ミニトマト,ミニトマト,860
2025/11/4,日建/葉物野菜,島唐辛子,340
2025/11/5,Adobe/葉物野菜,ベビーリーフ ロログリーン,320
2025/11/5,バリュエンス/加工BL,加工BL,120
2025/11/5,バリュエンス/葉物野菜,ベビーリーフ ロロロッサ,100
2025/11/5,東レ/加工BL,加工BL,320
2025/11/5,QB/加工BL,加工BL,160
2025/11/5,QB/葉物野菜,ベビーリーフ ピノグリーン,120
